מחוז,רשות,אשכול,סמל,מודל,שם מוסד,סוג חינוך,סוג מוסד,מחיר,כמות ילדים ,ת. הרשמה ,ת. התחלה,ת.סיום
דרום,נתיבות,3,28332,1,מעיין החינוך התורני דורית,רגיל,גן,500,27,29/07/2019,01/09/2018,30/06/2019
דרום,נתיבות,3,28340,1,מעיין החינוך התורני לבנה,רגיל,גן,500,35,29/07/2019,01/09/2018,30/06/2019
דרום,נתיבות,3,35444,1,מעיין החינוך התורני בטי,רגיל,גן,500,38,29/07/2019,01/09/2018,30/06/2019
דרום,נתיבות,3,41855,1,אגוי מזל,רגיל,גן,500,27,29/07/2019,01/09/2018,30/06/2019
דרום,נתיבות,3,187922,7,אהל משה רוז ד,מיוחד,גן,500,12,29/07/2019,01/09/2018,30/06/2019
דרום,נתיבות,3,456814,1,מרכז גני ילדים יונית,רגיל,גן,500,33,29/07/2019,01/09/2018,30/06/2019
דרום,נתיבות,3,457218,1,מעיין החינוך התורני מיה,רגיל,גן,500,37,29/07/2019,01/09/2018,30/06/2019
דרום,נתיבות,3,546549,1,מעיין החינוך התורני שרה,רגיל,גן,500,33,29/07/2019,01/09/2018,30/06/2019
דרום,נתיבות,3,546556,1,מעיין החינוך התורני יעל 2,רגיל,גן,500,35,29/07/2019,01/09/2018,30/06/2019
דרום,נתיבות,3,711200,1,מרכז גני ילדים פאני,רגיל,גן,500,35,29/07/2019,01/09/2018,30/06/2019
דרום,נתיבות,3,711218,1,מרכז גני ילדים רותי,רגיל,גן,500,38,29/07/2018,01/09/2018,30/06/2019
מרכז,אור יהודה ,4,562959,1,גן מעיין,רגיל,גן ,350,26,29/07/2018,01/09/2018,30/06/2019
מרכז,אור יהודה ,4,562942,1,גן עדן ,רגיל,גן,350,23,29/07/2018,01/09/2018,30/06/2019
מרכז,אור יהודה ,4,358770,1,מאור ישראל ,רגיל,גן,350,25,29/07/2018,01/09/2018,30/06/2019
מרכז,לוד,4,739037,2,"רשב""י",רגיל ,"בי""ס",?,52,29/07/2018,01/09/2018,30/06/2019
מרכז,לוד,4,526848,1,בנות יוסף,רגיל,גן,?,32,29/07/2018,01/09/2018,30/06/2019
מרכז,לוד,4,731356,1,בני יוסף,רגיל,גן,?,35,29/07/2018,01/09/2018,30/06/2019
מרכז,לוד,4,526830,1,בני יוסף,רגיל,גן,?,35,29/07/2018,01/09/2018,30/06/2019
מרכז,לוד,4,718916,1,בנות יוסף,רגיל,גן,?,30,29/07/2018,01/09/2018,30/06/2019
מרכז,לוד,4,741884,1,בני יוסף,רגיל,גן,?,34,29/07/2018,01/09/2018,30/06/2019
צפון,מעלות ,4,710715,1,גן בנות,רגיל,גן,350,28,29/07/2018,01/09/2018,30/06/2019
צפון,מעלות ,4,546663,1,גן בנות 1,רגיל,גן,180,28,29/07/2018,01/09/2018,30/06/2019
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
